exercise,body_part,sex,level_1,image_path,gif_img,peso,altura,doenca,obj
Rosca direta,braço,homem,básico,IMAGEM-rosca-direta-com-halteres-dados.png,GIF-rosca-biceps-direta-na-barra-ez.webp,68,1.68,asma,peso
Rosca direta,braço,mulher,básico,IMAGEM-rosca-direta-com-halteres-dados.png,GIF-rosca-biceps-direta-na-barra-ez.webp,68,1.68,asma,estetica
Tríceps pulley,braço,mulher,básico,IMAGEM-triceps-pulley-1572976383678_v2_1254x837.jpg,GIF-triceps-puxada-no-pulley.webp,55,1.65,nenhuma,saude
Tríceps pulley,braço,homem,básico,IMAGEM-triceps-pulley-1572976383678_v2_1254x837.jpg,GIF-triceps-puxada-no-pulley.webp,55,1.65,nenhuma,peso
Rosca martelo,braço,homem,intermediário,IMAGEM-rosca-martelo-2.webp,GIF-rosca-biceps-martelo-com-halteres-no-banco-inclinado.webp,75,1.75,Dor nas costas,peso
Rosca martelo,braço,mulher,intermediário,IMAGEM-rosca-martelo-2.webp,GIF-rosca-biceps-martelo-com-halteres-no-banco-inclinado.webp,75,1.75,Dor nas costas,saude
Rosca concentrada,braço,mulher,avançado,IMAGEM-Rosca-concentrada.webp,GIF-rosca-concentrada-unilateral-com-halter.webp,62,1.70,nenhuma,peso
Rosca concentrada,braço,homem,avançado,IMAGEM-Rosca-concentrada.webp,GIF-rosca-concentrada-unilateral-com-halter.webp,62,1.70,nenhuma,saude
Tríceps francês,braço,homem,avançado,IMAGEM-triceps-frances.webp,GIF-triceps-frances.webp,75,1.80,nenhuma,estetica
Tríceps francês,braço,mulher,avançado,IMAGEM-triceps-frances.webp,GIF-triceps-frances.webp,75,1.80,nenhuma,peso
Rosca Scott,braço,mulher,básico,IMAGEM-rosca-scott-musculacao-exercicio-1574704252441_v2_4x3.jpg,GIF-rosca-scott.webp,65,1.68,nenhuma,saude
Rosca Scott,braço,homem,básico,IMAGEM-rosca-scott-musculacao-exercicio-1574704252441_v2_4x3.jpg,GIF-rosca-scott.webp,65,1.68,nenhuma,estetica
Tríceps testa,braço,homem,intermediário,IMAGEM-954015187-istock-515434722.webp,GIF-triceps-testa.webp,72,1.75,nenhuma
Tríceps testa,braço,mulher,intermediário,IMAGEM-954015187-istock-515434722.webp,GIF-triceps-testa.webp,72,1.75,nenhuma
Tríceps coice,braço,mulher,básico,IMAGEM-triceps-coice.jpg,GIF-triceps-coice.webp,58,1.65,nenhuma
Tríceps coice,braço,homem,básico,IMAGEM-triceps-coice.jpg,GIF-triceps-coice.webp,58,1.65,nenhuma
Rosca inversa,braço,homem,avançado,IMAGEM-rosca-inversa.jpg,GIF-rosca-inversa.webp,80,1.78,nenhuma
Rosca inversa,braço,mulher,avançado,IMAGEM-rosca-inversa.jpg,GIF-rosca-inversa.webp,80,1.78,nenhuma
Rosca 21,braço,mulher,intermediário,IMAGEM-rosca-21.jpg,GIF-rosca-21.webp,60,1.67,nenhuma
Rosca 21,braço,homem,intermediário,IMAGEM-rosca-21.jpg,GIF-rosca-21.webp,60,1.67,nenhuma
Tríceps mergulho,braço,homem,básico,IMAGEM-triceps-mergulho-final.jpg,GIF-triceps-mergulho.webp,70,1.72,nenhuma
Tríceps mergulho,braço,mulher,básico,IMAGEM-triceps-mergulho-final.jpg,GIF-triceps-mergulho.webp,70,1.72,nenhuma
Rosca com barra,braço,mulher,básico,IMAGEM-rosca-com-barra.jpg,GIF-rosca-com-barra.webp,55,1.65,nenhuma
Rosca com barra,braço,homem,básico,IMAGEM-rosca-com-barra.jpg,GIF-rosca-com-barra.webp,55,1.65,nenhuma
Agachamento,perna,homem,básico,IMAGEM-agachamento.jpg,GIF-agachamento.webp,75,1.80,nenhuma
Agachamento,perna,mulher,básico,IMAGEM-agachamento.jpg,GIF-agachamento.webp,75,1.80,nenhuma
Leg press,perna,mulher,básico,IMAGEM-leg-press.jpg,GIF-leg-press.webp,60,1.65,nenhuma
Leg press,perna,homem,básico,IMAGEM-leg-press.jpg,GIF-leg-press.webp,60,1.65,nenhuma
Extensão de perna,perna,homem,intermediário,IMAGEM-extensao-de-perna.jpg,GIF-extensao-de-perna.webp,72,1.75,nenhuma
Extensão de perna,perna,mulher,intermediário,IMAGEM-extensao-de-perna.jpg,GIF-extensao-de-perna.webp,72,1.75,nenhuma
Flexão de perna,perna,mulher,avançado,IMAGEM-flexao-de-perna.jpg,GIF-flexao-de-perna.webp,58,1.68,nenhuma
Flexão de perna,perna,homem,avançado,IMAGEM-flexao-de-perna.jpg,GIF-flexao-de-perna.webp,58,1.68,nenhuma
Panturrilha em pé,perna,homem,básico,IMAGEM-panturrilha-em-pe.jpg,GIF-panturrilha-em-pe.webp,70,1.78,nenhumaq
Passada,perna,mulher,intermediário,IMAGEM-passada.jpg,GIF-passada.webp,65,1.67,nenhuma
Passada,perna,homem,intermediário,IMAGEM-passada.jpg,GIF-passada.webp,65,1.67,nenhuma
Cadeira abdutora,perna,homem,avançado,IMAGEM-cadeira-abdutora.jpg,GIF-cadeira-abdutora.webp,75,1.80,nenhuma
Cadeira abdutora,perna,mulher,avançado,IMAGEM-cadeira-abdutora.jpg,GIF-cadeira-abdutora.webp,75,1.80,nenhuma
Cadeira adutora,perna,mulher,básico,IMAGEM-cadeira-adutora.jpg,GIF-cadeira-adutora.webp,55,1.65,nenhuma
Cadeira adutora,perna,homem,básico,IMAGEM-cadeira-adutora.jpg,GIF-cadeira-adutora.webp,55,1.65,nenhuma
Elevação de panturrilha sentado,perna,homem,intermediário,IMAGEM-elevacao-de-panturrilha-sentado.jpg,GIF-elevacao-de-panturrilha-sentado.webp,72,1.75,nenhuma
Elevação de panturrilha sentado,perna,mulher,intermediário,IMAGEM-elevacao-de-panturrilha-sentado.jpg,GIF-elevacao-de-panturrilha-sentado.webp,72,1.75,nenhuma
Agachamento búlgaro,perna,mulher,avançado,IMAGEM-agachamento-bulgaro.jpg,GIF-agachamento-bulgaro.webp,60,1.70,nenhuma
Agachamento búlgaro,perna,homem,avançado,IMAGEM-agachamento-bulgaro.jpg,GIF-agachamento-bulgaro.webp,60,1.70,nenhuma
Afundo,perna,homem,básico,IMAGEM-afundo.jpg,GIF-afundo.webp,75,1.80,nenhuma
Afundo,perna,mulher,básico,IMAGEM-afundo.jpg,GIF-afundo.webp,75,1.80,nenhuma
Cadeira extensora,perna,mulher,básico,IMAGEM-cadeira-extensora.jpg,GIF-cadeira-extensora.webp,60,1.65,nenhuma
Cadeira extensora,perna,homem,básico,IMAGEM-cadeira-extensora.jpg,GIF-cadeira-extensora.webp,60,1.65,nenhuma
Desenvolvimento com halteres,ombro,homem,básico,IMAGEM-desenvolvimento-com-halteres.jpg,GIF-desenvolvimento-com-halteres.webp,75,1.80,nenhuma
Desenvolvimento com halteres,ombro,mulher,básico,IMAGEM-desenvolvimento-com-halteres.jpg,GIF-desenvolvimento-com-halteres.webp,75,1.80,nenhuma
Elevação lateral,ombro,mulher,básico,IMAGEM-elevacao-lateral.jpg,GIF-elevacao-lateral.webp,60,1.65,nenhuma
Elevação lateral,ombro,homem,básico,IMAGEM-elevacao-lateral.jpg,GIF-elevacao-lateral.webp,60,1.65,nenhuma
Elevação frontal,ombro,homem,intermediário,IMAGEM-elevacao-frontal.jpg,GIF-elevacao-frontal.webp,72,1.75,nenhuma
Elevação frontal,ombro,mulher,intermediário,IMAGEM-elevacao-frontal.jpg,GIF-elevacao-frontal.webp,72,1.75,nenhuma
Desenvolvimento Arnold,ombro,mulher,avançado,IMAGEM-desenvolvimento-arnold.jpg,GIF-desenvolvimento-arnold.webp,58,1.68,nenhuma
Desenvolvimento Arnold,ombro,homem,avançado,IMAGEM-desenvolvimento-arnold.jpg,GIF-desenvolvimento-arnold.webp,58,1.68,nenhuma
Crucifixo inverso,ombro,homem,básico,IMAGEM-crucifixo-inverso.jpg,GIF-crucifixo-inverso.webp,70,1.78,nenhuma
Crucifixo inverso,ombro,mulher,básico,IMAGEM-crucifixo-inverso.jpg,GIF-crucifixo-inverso.webp,70,1.78,nenhuma
Desenvolvimento militar,ombro,mulher,intermediário,IMAGEM-desenvolvimento-militar.jpg,GIF-desenvolvimento-militar.webp,65,1.67,nenhuma
Desenvolvimento militar,ombro,homem,intermediário,IMAGEM-desenvolvimento-militar.jpg,GIF-desenvolvimento-militar.webp,65,1.67,nenhuma
Elevação lateral inclinada,ombro,homem,avançado,IMAGEM-elevacao-lateral-inclinada.jpg,GIF-elevacao-lateral-inclinada.webp,75,1.80,nenhuma
Elevação lateral inclinada,ombro,mulher,avançado,IMAGEM-elevacao-lateral-inclinada.jpg,GIF-elevacao-lateral-inclinada.webp,75,1.80,nenhuma
Desenvolvimento com barra,ombro,mulher,básico,IMAGEM-desenvolvimento-com-barra.jpg,GIF-desenvolvimento-com-barra.webp,55,1.65,nenhuma
Desenvolvimento com barra,ombro,homem,básico,IMAGEM-desenvolvimento-com-barra.jpg,GIF-desenvolvimento-com-barra.webp,55,1.65,nenhuma
Supino reto,peito,homem,básico,IMAGEM-supino-reto.jpg,GIF-supino-reto.webp,75,1.80,nenhuma
Supino reto,peito,mulher,básico,IMAGEM-supino-reto.jpg,GIF-supino-reto.webp,75,1.80,nenhuma
Crucifixo com halteres,peito,mulher,básico,IMAGEM-crucifixo-com-halteres.jpg,GIF-crucifixo-com-halteres.webp,60,1.65,nenhuma
Crucifixo com halteres,peito,homem,básico,IMAGEM-crucifixo-com-halteres.jpg,GIF-crucifixo-com-halteres.webp,60,1.65,nenhuma
